GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27099000035,27,099,000035,1305.5,1097.88,24.03,4.01,6.01,2,0,12.01,5,8.01,1222.47,996.63,134.19,42.06,1
27099000050,27,099,000050,714.97,579.21,10.98,6.88,5.86,0,0,8.91,1.05,2.05,610.22,443.11,188.01,46.49,0.03
27099000055,27,099,000055,920.94,859.79,18.2,2.87,4.79,0,0,2.88,3.84,1.92,892.21,686.31,151.43,40.25,2.87
27099000070,27,099,000070,234.48,288.25,4,0.97,0.95,0,0,1.86,0.05,0.92,228.34,250.25,29.61,9.58,0
27099000075,27,099,000075,24,70,1,0,0,0,0,0,0,0,31,57,3,2,0
27099000080,27,099,000080,159.78,224.96,2,1.99,1.99,0,0,1.99,1,0,152.8,200.98,25.94,7.99,0
27099000085,27,099,000085,35,67,0,0,0,0,0,1,0,1,40,59,1,2,0
27099000090,27,099,000090,68.22,125.51,2.01,0,0,0,0,0,1,0,67.2,102.48,17.04,4.01,0
27099000095,27,099,000095,49.78,113.49,1.99,0,0,1,0,0,1,1,45.8,108.52,8.96,2.99,0
27099000100,27,099,000100,23,38,2,0,0,0,0,0,0,0,22,35,4,0,0
27099000105,27,099,000105,61.04,166.05,6,0,1,0,0,0,1,0,66.03,151.04,5.01,4,0
27099000110,27,099,000110,200.98,394,6,4,1,0,0,1,1,1,196.99,345.01,40.99,14,1
27099000115,27,099,000115,48.98,122.95,4,0,0,0,0,0,0,1,49.98,119.95,3,3,0
27099000120,27,099,000120,273.23,363.83,3.14,0.31,0.12,0,0,2.52,4.86,0.47,279.16,299.18,45.63,8.91,0.11
27099000125,27,099,000125,158.93,346.92,6,3,1.02,0,0,1.02,0,1,166.06,288.62,43.09,7,0
27099000130,27,099,000130,50.07,153.08,0,0,0.98,0,0,0.98,0,0,56.94,136.38,5.91,0,0
27099000135,27,099,000135,26.71,101.9,0,0,0.99,0,0,0,0,0,37.59,87.06,4.95,0.99,0
27099000140,27,099,000140,106,152,2,2,0,0,0,0,0,2,113,119,20,6,0
27099000145,27,099,000145,59,165,2,0,0,0,0,0,0,0,64,146,10,5,0
27099000150,27,099,000150,29,32,0,1,0,0,0,0,1,1,29,23,8,2,0
27099000155,27,099,000155,73.93,114.89,1,1,0,0,0,1,2,0,74.93,107.9,6.99,1,0
27099000160,27,099,000160,72,143,3,3,0,0,0,0,0,0,86,121,6,2,0
27099000165,27,099,000165,58,142,0,0,1,0,0,0,0,0,54,131,7,4,0
27099000170,27,099,000170,62.26,172.18,4.86,0,0.97,0,0,0,0.97,0,66.15,153.7,14.59,2.92,0
27099000175,27,099,000175,94.74,210.82,3.14,0,0.03,0,0,0,0.03,0,88.85,205.3,5.41,3.08,0
27099000180,27,099,000180,180.76,331.15,3.43,0.08,0.12,0,0,1.07,3.08,1.04,175.07,298.07,22.6,9.95,0.07
27099000185,27,099,000185,91.32,120.17,6.71,0,0,0,0,1.92,0.96,0.96,99.96,102.87,6.73,6.71,0
27099000190,27,099,000190,8,32,0,0,0,0,0,0,0,0,5,20,9,2,0
27099000195,27,099,000195,47,146,1,0,0,0,0,2,1,0,53,130,11,1,0
27099000200,27,099,000200,20.29,8.1,0,0,0.01,0,1,0,0,0,22.41,5.94,1.05,0.01,0
27099000205,27,099,000205,102,163,7,0,0,0,1,1,0,0,109,143,13,6,0
27099000210,27,099,000210,27,53,1,1,0,0,0,0,0,1,32,39,9,1,0
27099000215,27,099,000215,55,159,3,1,1,0,0,3,0,0,63,145,9,1,0
27099000220,27,099,000220,142,180.74,3.65,1.05,0.1,0,0,0.14,0.12,0.08,146.76,154.59,11.33,4.1,0.06
27101000005,27,101,000005,20.09,51.42,0,0,0,0,0,0,0,0,20.1,43.36,6.03,1,0
27101000010,27,101,000010,32,72,1,1,0,0,0,0,0,1,35,63,7,1,0
27101000015,27,101,000015,38.16,119,2.02,2,0.01,0,0,1.01,0,0.01,43.08,109.77,3.22,1.05,0
27101000020,27,101,000020,19,51,0,0,1,0,0,0,0,0,16,50,3,1,0
