GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29189QUE040,29,189,QUE040,19.56,22.89,0.45,0.35,0.55,17.88,22.64,0.84,0.65,0.74
29189QUE041,29,189,QUE041,129.46,146.85,1.88,0.34,3.41,110.52,153.5,8.02,1.19,3.92
29189QUE042,29,189,QUE042,58.16,68.05,1.33,1.03,1.62,53.14,67.32,2.51,1.92,2.21
29189QUE043,29,189,QUE043,297.04,336.96,4.3,0.78,7.83,253.6,352.22,18.39,2.74,9
29189QUE044,29,189,QUE044,268.16,291.15,1.77,1.77,4.71,215.12,311.18,11.79,2.95,8.84
29189QUE045,29,189,QUE045,143.69,182.18,4.25,1.32,5.34,120.19,195.56,8.5,1.9,4.77
29189QUE046,29,189,QUE046,42,78,1,0,4,29,82,8,1,2
29189QUE047,29,189,QUE047,0,0,0,0,0,0,0,0,0,0
29189QUE048,29,189,QUE048,13,45,0,0,2,16,42,2,0,0
29189QUE049,29,189,QUE049,69.62,89.53,1.1,1.08,2.16,66.18,86.2,2.51,1.07,3.16
29189QUE200,29,189,QUE200,0,0,0,0,0,0,0,0,0,0
29189QUE201,29,189,QUE201,0,0,0,0,0,0,0,0,0,0
29189QUE202,29,189,QUE202,0,0,0,0,0,0,0,0,0,0
29189QUE203,29,189,QUE203,1.21,0.96,0.02,0,0.01,0.96,1.14,0.03,0,0.03
29189QUE204,29,189,QUE204,0,0,0,0,0,0,0,0,0,0
29189QUE205,29,189,QUE205,0,0,0,0,0,0,0,0,0,0
29189QUE207,29,189,QUE207,2.56,2.79,0.08,0.02,0.12,2.32,2.79,0.25,0.02,0.1
29189QUE208,29,189,QUE208,13.83,15.11,0.46,0.09,0.64,12.56,15.11,1.37,0.09,0.55
29189QUE209,29,189,QUE209,0,0,0,0,0,0,0,0,0,0
29189QUE210,29,189,QUE210,0,0,0,0,0,0,0,0,0,0
29189QUE211,29,189,QUE211,0,0,0,0,0,0,0,0,0,0
29189QUE213,29,189,QUE213,63.37,74.18,1.44,1.12,1.86,58.05,73.28,2.82,2.08,2.4
29189SPL001,29,189,SPL001,55,985,7,6,6,49,968,11,6,8
29189SPL002,29,189,SPL002,38.75,549,1.64,2.18,3.27,30.56,545.73,5.46,3.27,3.82
29189SPL003,29,189,SPL003,39,931,6,2,10,41,907,9,13,5
29189SPL004,29,189,SPL004,77.06,603.18,1.66,3.23,3.15,65.71,603.92,6.63,3.32,4.32
29189SPL005,29,189,SPL005,41.93,388.77,2.28,2.28,3.19,34.18,388.77,5.47,1.82,3.65
29189SPL006,29,189,SPL006,36.09,244.2,0.72,1.92,1.68,28.63,250.22,0.96,2.41,1.68
29189SPL007,29,189,SPL007,78,969.02,6,2,8,67,972.02,10,7,4
29189SPL008,29,189,SPL008,43.21,247.88,2.09,2.56,4.18,35.54,254.61,3.02,1.63,2.79
29189SPL009,29,189,SPL009,5.07,29.07,0.17,0.05,0.27,3.76,29.51,0.57,0.15,0.3
29189SPL010,29,189,SPL010,95.55,207.14,0.73,1.09,2.92,79.14,219.9,1.82,0.73,4.01
29189SPL011,29,189,SPL011,92.37,1156.53,5.9,3.93,3.93,84.5,1135.9,10.81,6.88,11.79
29189SPL012,29,189,SPL012,34.31,195.56,1.15,0.33,1.83,25.51,198.49,3.81,1,2.03
29189SPL013,29,189,SPL013,149,833,2,2,4,116,844,10,6,7
29189SPL014,29,189,SPL014,52.44,265.75,1.53,1.78,1.27,40.73,273.13,2.29,2.04,2.29
29189SPL015,29,189,SPL015,97.43,964.58,9.68,3.63,2.42,81.09,955.5,8.47,7.26,13.31
29189SPL016,29,189,SPL016,87.27,410.04,1.08,1.02,5.12,77.69,407.24,11.25,2.07,2.13
